School_name,Town_suburb,Postcode,School_gender,Level_of_schooling,Latitude,Longitude,SA2_Code
Biraban Public School,Toronto,2283,Coed,Primary School,-33.008389,151.576296,111021219
Pendle Hill Public School,Wentworthville,2145,Coed,Primary School,-33.810297,150.953964,125041588
Umina Beach Public School,Umina Beach,2257,Coed,Primary School,-33.52511,151.314055,102011040
Fern Bay Public School,Fern Bay,2295,Coed,Primary School,-32.871657,151.794739,111031232
Hilltop Road Public School,Merrylands,2160,Coed,Primary School,-33.826331,150.973319,125031485
Richmond Public School,Richmond,2753,Coed,Primary School,-33.598937,150.757514,124041466
Guildford West Public School,Guildford West,2161,Coed,Primary School,-33.847672,150.966496,125031484
Jannali East Public School,Jannali,2226,Coed,Primary School,-34.019152,151.07232,128021536
Warilla Public School,Warilla,2528,Coed,Primary School,-34.557172,150.854194,107031143
Fairvale Public School,Fairfield,2165,Coed,Primary School,-33.876939,150.940718,127021515
Lake Heights Public School,LAKE HEIGHTS,2502,Coed,Primary School,-34.489668,150.868047,107011545
Panania North Public School,Panania,2213,Coed,Primary School,-33.944499,150.999631,119011359
Peakhurst West Public School,Peakhurst,2210,Coed,Primary School,-33.962021,151.049429,119031372
Chatham Public School,Taree,2430,Coed,Primary School,-31.899751,152.482235,108051169
Mowbray Public School,Lane Cove,2066,Coed,Primary School,-33.803943,151.155895,121011399
Revesby South Public School,Revesby,2212,Coed,Primary School,-33.960526,151.017335,119011360
Booragul Public School,Booragul,2284,Coed,Primary School,-32.973933,151.61151,111021215
Gunnedah South Public School,Gunnedah,2380,Coed,Primary School,-30.991999,150.250486,110041199
Forestville Public School,Forestville,2087,Coed,Primary School,-33.761582,151.212803,122031427
Glenroi Heights Public School,Orange,2800,Coed,Primary School,-33.297205,149.11234,103041077
Manly Vale Public School,Manly Vale,2093,Coed,Primary School,-33.783497,151.25976,122031430
Coal Point Public School,Coal Point,2283,Coed,Primary School,-33.040828,151.610798,111021219
Sylvania Heights Public School,SYLVANIA,2224,Coed,Primary School,-34.012724,151.097344,128011531
Griffith North Public School,Griffith,2680,Coed,Primary School,-34.279922,146.047903,113011256
Dundas Public School,Dundas,2117,Coed,Primary School,-33.804424,151.036399,125021477
Eleebana Public School,Eleebana,2282,Coed,Primary School,-32.990502,151.64262,111011213
Cringila Public School,Cringila,2502,Coed,Primary School,-34.471975,150.86987,107011545
Epping Heights Public School,Epping,2121,Coed,Primary School,-33.762695,151.07408,126011495
Eastwood Heights Public School,Eastwood,2122,Coed,Primary School,-33.781914,151.095463,126021497
Lindsay Park Public School,Wollongong,2500,Coed,Primary School,-34.430004,150.860942,107041146
Mount Kuring-gai Public School,Mount Kuring-gai,2080,Coed,Primary School,-33.657474,151.135604,121021403
Point Clare Public School,Point Clare,2250,Coed,Primary School,-33.443519,151.327734,102011037
Penshurst West Public School,Mortdale,2223,Coed,Primary School,-33.962115,151.072176,119031369
Kingscliff Public School,KINGSCLIFF,2487,Coed,Primary School,-28.259375,153.579497,112031250
Oxley Park Public School,St Marys,2760,Coed,Primary School,-33.771451,150.788894,124051580
Rooty Hill Public School,Rooty Hill,2766,Coed,Primary School,-33.769292,150.840435,116031319
Birrong Public School,Birrong,2143,Coed,Primary School,-33.895596,151.02007,119011361
Leumeah Public School,Leumeah,2560,Coed,Primary School,-34.049425,150.840373,123021441
Wattawa Heights Public School,Bankstown,2200,Coed,Primary School,-33.914921,151.012095,119011571
Cambridge Park Public School,Cambridge Park,2747,Coed,Primary School,-33.747017,150.725939,124031457
Blacktown North Public School,Blacktown,2148,Coed,Primary School,-33.75879,150.913134,116011303
Macquarie Fields Public School,Macquarie Fields,2564,Coed,Primary School,-33.995325,150.882486,123021442
Villawood North Public School,Fairfield East,2165,Coed,Primary School,-33.877111,150.972454,125031480
Windsor South Public School,SOUTH WINDSOR,2756,Coed,Primary School,-33.618221,150.804036,124041467
Matraville Soldiers Settlement Public School,Matraville,2036,Coed,Primary School,-33.958039,151.239995,118021350
Oatlands Public School,Oatlands,2117,Coed,Primary School,-33.800088,151.023521,125021478
Kirrawee Public School,Kirrawee,2232,Coed,Primary School,-34.033467,151.07749,128021538
Illawong Public School,Illawong,2234,Coed,Primary School,-33.999133,151.042689,128021534
Kemblawarra Public School,Port Kembla,2505,Coed,Primary School,-34.489284,150.893254,107011546
Lilli Pilli Public School,Lilli Pilli,2229,Coed,Primary School,-34.066592,151.118387,128011605
Lismore Heights Public School,Lismore Heights,2480,Coed,Primary School,-28.806982,153.300641,112021248
Padstow North Public School,Padstow,2211,Coed,Primary School,-33.945302,151.031421,119011358
Middleton Public School,Parkes,2870,Coed,Primary School,-33.14775,148.173061,103021067
Hannans Road Public School,Riverwood,2210,Coed,Primary School,-33.945271,151.057599,119031373
Mount Ousley Public School,Fairy Meadow,2519,Coed,Primary School,-34.398869,150.88825,107041144
Tuggerawong Public School,Tuggerawong,2259,Coed,Primary School,-33.279824,151.485605,102021048
Forbes North Public School,Forbes,2871,Coed,Primary School,-33.369929,148.001032,103021065
Murwillumbah East Public School,Murwillumbah,2484,Coed,Primary School,-28.320856,153.405267,112031251
Telopea Public School,Telopea,2117,Coed,Primary School,-33.797032,151.04364,125021478
Nowra Hill Public School,Nowra,2541,Coed,Primary School,-34.93542,150.566223,114011278
Central Mangrove Public School,Central Mangrove,2250,Coed,Primary School,-33.295626,151.244425,102011030
Tweed Heads South Public School,Tweed Heads South,2486,Coed,Primary School,-28.195346,153.539048,112031552
Deniliquin South Public School,Deniliquin,2710,Coed,Primary School,-35.537609,144.955826,109031182
Mingoola Public School,MINGOOLA,4380,Coed,Primary School,-29.005108,151.542636,110021194
Blacktown West Public School,Blacktown,2148,Coed,Primary School,-33.770441,150.893057,116011561
Warnervale Public School,Hamlyn Terrace,2259,Coed,Primary School,-33.251778,151.469227,102021056
Moree East Public School,Moree,2400,Coed,Primary School,-29.476982,149.840238,110031195
Albion Park Rail Public School,Albion Park,2527,Coed,Primary School,-34.56755,150.798668,107031137
Miranda North Public School,Miranda,2228,Coed,Primary School,-34.031992,151.11273,128011530
Rydalmere East Public School,Ermington,2115,Coed,Primary School,-33.817144,151.05818,125021477
Yowie Bay Public School,Yowie Bay,2228,Coed,Primary School,-34.048155,151.102761,128011530
Ermington West Public School,Ermington,2115,Coed,Primary School,-33.805894,151.058368,125021477
Campbelltown North Public School,Campbelltown,2560,Coed,Primary School,-34.061201,150.826589,123021437
Queanbeyan West Public School,Queanbeyan,2620,Coed,Primary School,-35.348418,149.21574,101021009
Heaton Public School,Jesmond,2299,Coed,Primary School,-32.899751,151.695069,111031231
Young North Public School,Young,2594,Coed,Primary School,-34.311036,148.305408,101061543
Arcadia Vale Public School,Arcadia Vale,2283,Coed,Primary School,-33.060231,151.582044,111021220
Garden Suburb Public School,Garden Suburb,2289,Coed,Primary School,-32.947882,151.682275,111011209
Penrith South Public School,Penrith,2750,Coed,Primary School,-33.763901,150.700637,124031461
Bankstown West Public School,Bankstown,2200,Coed,Primary School,-33.915528,151.019639,119011571
Turvey Park Public School,Wagga Wagga,2650,Coed,Primary School,-35.129059,147.357531,113031269
Erskineville Public School,Erskineville,2043,Coed,Primary School,-33.900881,151.186112,117031330
Castlereagh Public School,NA,2749,Coed,Primary School,-33.667028,150.675968,124031458
North Haven Public School,North Haven,2443,Coed,Primary School,-31.633807,152.819763,108041162
Tower Street Public School,Panania,2213,Coed,Primary School,-33.956383,151.007373,119011359
Edgeworth Heights Public School,Edgeworth,2285,Coed,Primary School,-32.924431,151.609209,111021217
Yates Avenue Public School,Dundas Valley,2117,Coed,Primary School,-33.795608,151.058398,125021478
Kent Road Public School,Eastwood,2122,Coed,Primary School,-33.787415,151.108936,126021500
Liverpool West Public School,Liverpool,2170,Coed,Primary School,-33.927101,150.907691,127031598
Seven Hills West Public School,Seven Hills,2147,Coed,Primary School,-33.765987,150.921605,116011307
Elermore Vale Public School,Wallsend,2287,Coed,Primary School,-32.915589,151.666815,111031233
Truscott Street Public School,North Ryde,2113,Coed,Primary School,-33.794097,151.130918,126021501
Epping North Public School,North Epping,2121,Coed,Primary School,-33.757643,151.095425,126011495
Marayong Public School,Blacktown,2148,Coed,Primary School,-33.756609,150.895304,116011304
Lavington East Public School,Lavington,2641,Coed,Primary School,-36.039323,146.948942,109011176
Kooringal Public School,Wagga Wagga,2650,Coed,Primary School,-35.148828,147.373239,113031267
Albert Park Public School,East Lismore,2480,Coed,Primary School,-28.821563,153.272498,112021248
Berkeley West Public School,Berkeley,2506,Coed,Primary School,-34.475497,150.841,107011545
Budgewoi Public School,Budgewoi,2262,Coed,Primary School,-33.225718,151.549312,102021046
Lennox Head Public School,Lennox Head,2478,Coed,Primary School,-28.794377,153.590695,112011242
Valentine Public School,Valentine,2280,Coed,Primary School,-33.009147,151.642517,111011213
Black Springs Public School,Black Springs,2787,Coed,Primary School,-33.845694,149.741982,103011061
Lalor Park Public School,Lalor Park,2147,Coed,Primary School,-33.760504,150.93125,116011307
Bert Oldfield Public School,Seven Hills,2147,Coed,Primary School,-33.777505,150.924537,116011308
Blacktown South Public School,Blacktown,2148,Coed,Primary School,-33.780193,150.905175,116011560
Charlestown East Public School,Charlestown,2290,Coed,Primary School,-32.971176,151.704693,111011208
Warrimoo Public School,Warrimoo,2774,Coed,Primary School,-33.728056,150.600217,124011450
Kempsey South Public School,Kempsey,2440,Coed,Primary School,-31.094959,152.829888,108021155
Blacksmiths Public School,Blacksmiths,2281,Coed,Primary School,-33.071303,151.654011,111011207
Casula Public School,Casula,2170,Coed,Primary School,-33.944218,150.9092,127031522
Elanora Heights Public School,Elanora Heights,2101,Coed,Primary School,-33.703672,151.284751,122021421
Allambie Heights Public School,ALLAMBIE HEIGHTS,2100,Coed,Primary School,-33.76615,151.249208,122031430
Kotara South Public School,KOTARA SOUTH,2289,Coed,Primary School,-32.946528,151.694255,111031222
Parkes East Public School,Parkes,2870,Coed,Primary School,-33.136054,148.190215,103021067
St Marys North Public School,North St Marys,2760,Coed,Primary School,-33.756231,150.782596,124051581
Biddabah Public School,Warners Bay,2282,Coed,Primary School,-32.966054,151.641812,111011214
Glendale East Public School,Glendale,2285,Coed,Primary School,-32.927568,151.65441,111011209
Fennell Bay Public School,Fennell Bay,2283,Coed,Primary School,-32.991749,151.601866,111021215
Temora West Public School,Temora,2666,Coed,Primary School,-34.451303,147.523536,113031266
Mount Pritchard East Public School,Mount Pritchard,2170,Coed,Primary School,-33.905097,150.912044,127021512
Quakers Hill East Public School,Acacia Gardens,2763,Coed,Primary School,-33.732484,150.914359,116021562
Narrandera East Infants School,Narrandera,2700,Coed,Infants School,-34.750279,146.565792,113011259
Mount Austin Public School,Mount Austin,2650,Coed,Primary School,-35.135621,147.35123,113031269
Banksia Road Public School,Greenacre,2190,Coed,Primary School,-33.906898,151.05011,119011357
Gosford East Public School,EAST GOSFORD,2250,Coed,Primary School,-33.437558,151.348883,102011032
Loftus Public School,Loftus,2232,Coed,Primary School,-34.046979,151.048886,128021608
Darcy Road Public School,WENTWORTHVILLE,2145,Coed,Primary School,-33.801954,150.96599,125041493
Tulloona Public School,Tulloona,2400,Coed,Primary School,-28.868872,150.1013,110031196
Bullarah Public School,BULLARAH,2400,Coed,Primary School,-29.470905,149.228908,110031196
Laguna Street Public School,Caringbah,2229,Coed,Primary School,-34.04634,151.11285,128011603
Morgan Street Public School,Broken Hill,2880,Coed,Primary School,-31.941471,141.460807,105021097
Railway Town Public School,Broken Hill,2880,Coed,Primary School,-31.970615,141.43997,105021097
Cromer Public School,Cromer,2099,Coed,Primary School,-33.738009,151.274661,122031425
Illaroo Road Public School,NORTH NOWRA,2541,Coed,Primary School,-34.859064,150.59000700000001,114011277
Vardys Road Public School,Seven Hills,2147,Coed,Primary School,-33.757148,150.942765,116011307
Wheeler Heights Public School,Collaroy Plateau,2097,Coed,Primary School,-33.72779,151.284764,122031431
Randwick Public School,Randwick,2031,Coed,Primary School,-33.910645,151.241714,118021569
Nowra East Public School,Nowra East,2541,Coed,Primary School,-34.882443,150.607732,114011278
Ryde East Public School,North Ryde,2113,Coed,Primary School,-33.807139,151.125864,126021591
Lynwood Park Public School,BLACKTOWN,2148,Coed,Primary School,-33.754408,150.926373,116011303
Burraneer Bay Public School,Cronulla,2230,Coed,Primary School,-34.051026,151.132781,128011606
Mallawa Public School,MOREE,2400,Coed,Primary School,-29.645473,149.439183,110031196
Tarro Public School,Tarro,2322,Coed,Primary School,-32.810607,151.664754,111031223
Lakelands Public School,Dapto,2530,Coed,Primary School,-34.505002,150.795602,107011131
Griffith East Public School,Griffith,2680,Coed,Primary School,-34.286141,146.061792,113011256
Khancoban Public School,Khancoban,2642,Coed,Primary School,-36.21405,148.131142,113021260
Hornsby Heights Public School,Hornsby,2077,Coed,Primary School,-33.670114,151.097989,121021403
Normanhurst West Public School,Thornleigh,2120,Coed,Primary School,-33.721061,151.088436,121021406
Thornleigh West Public School,Thornleigh,2120,Coed,Primary School,-33.723864,151.072163,121021406
Campbelltown East Public School,Campbelltown,2560,Coed,Primary School,-34.072299,150.831753,123021437
Marsden Road Public School,Liverpool,2170,Coed,Primary School,-33.916491,150.912841,127031598
St Marys South Public School,St Marys,2760,Coed,Primary School,-33.780052,150.776385,124051581
Deniliquin North Public School,Deniliquin,2710,Coed,Primary School,-35.525164,144.981664,109031182
Marayong Heights Public School,Marayong,2148,Coed,Primary School,-33.742667,150.896425,116011304
West Pymble Public School,West Pymble,2073,Coed,Primary School,-33.763937,151.124401,121031409
Bennett Road Public School,Colyton,2760,Coed,Primary School,-33.783499,150.792462,124051580
Camden South Public School,Camden,2570,Coed,Primary School,-34.069741,150.69563,123011433
Holsworthy Public School,Holsworthy,2173,Coed,Primary School,-33.956342,150.953353,127031524
Lurnea Public School,Lurnea,2170,Coed,Primary School,-33.932082,150.891925,127031599
Mount Druitt Public School,MOUNT DRUITT,2770,Coed,Primary School,-33.763984,150.812509,116031317
Balarang Public School,Oak Flats,2529,Coed,Primary School,-34.55976,150.831115,107031142
Engadine West Public School,Engadine,2233,Coed,Primary School,-34.059519,151.002566,128021607
